norad_id,name,lat,lon,alt
00900,CALSPHERE 1,46.22726552777276,-148.42202195942014,984097.0315792201
00902,CALSPHERE 2,-7.867213012374644,35.57988808709615,1078521.5252782402
01361,LCS 1,13.010663741474007,-91.78262639622265,2777599.819566458
01512,TEMPSAT 1,85.26173552380921,-177.5195463454672,1159737.4071913941
01520,CALSPHERE 4A,-24.546138393568743,-84.20188051952753,1162212.7164875146
02826,OPS 5712 (P/L 160),-69.94676933282153,38.581730216584944,683261.0857357208
02866,LES-5,-1.6541438180313242,165.03447101227434,33338513.01091382
02872,SURCAL 159,66.7151854496273,99.93213490662875,912378.302032215
02874,OPS 5712 (P/L 153),55.06975935370552,-123.59610022173158,915898.399939216
02909,SURCAL 150B,-39.42177221370142,24.837154473089775,516382.20451515215
