datetime,sat_name,norad_id,country,distance_km,relative_velocity_kms,sunlit,you_between_sun_and_target,your_pos_x,your_pos_y,your_pos_z,other_pos_x,other_pos_y,other_pos_z,your_vel_x,your_vel_y,your_vel_z,other_vel_x,other_vel_y,other_vel_z,rel_vel_x,rel_vel_y,rel_vel_z,rel_vel_radial_kms,rel_vel_tangential_kms,angular_velocity_deg_per_sec,azimuth_deg,elevation_deg
2025-06-06 04:30:00+00:00,AEROCUBE 8C,41853,,41.88,12.78,False,False,-1554.0019974929153,-738.7794503677046,6709.741299187493,-1555.606802854206,-741.0652263826996,6667.951705609736,3.9801113177082064,6.2510198418602485,1.6104793402265047,-7.336005511483633,1.2359488076091951,-1.5711635742302241,-11.31611682919184,-5.015071034251053,-3.181642914456729,3.882,12.176,16.657046,-125.072,-86.176
2025-06-08 06:50:00+00:00,NORSAT 1,42826,,45.17,11.031,True,False,1271.2007533628114,360.6629760500426,-6814.256050154659,1228.4742164925744,349.41823785156646,-6804.869755839656,-3.8612609001206613,-6.422014524101228,-1.0567927086177618,6.598043797398497,-3.5908672934863386,1.0085413114017525,10.459304697519158,2.8311472306148895,2.065334020019514,-10.17,4.273,5.41992,-165.255,11.994
2025-06-08 04:10:00+00:00,STARLINK-1392,45677,,26.27,6.166,True,False,-3718.8910074934743,-5315.402311688798,2442.050520451607,-3729.1606924682824,-5307.49097554676,2419.1983156905735,0.6666465521465557,2.77356124820962,7.030129860088936,5.164658706568414,-1.1350062249582753,5.4467451663436455,4.498012154421858,-3.908567473167895,-1.5833846937452902,-1.558,5.966,13.009732,142.391,-60.435
2025-06-08 06:20:00+00:00,STARLINK-1573,46061,,32.33,6.741,False,False,2782.7405640967445,5296.94833619814,3507.7938700442983,2791.59436263051,5293.182497412532,3476.9238614563565,2.769292180262535,2.838145034308271,-6.4609937156977555,-3.4046819056064694,4.894139706356155,-4.700858899053487,-6.173974085869005,2.055994672047884,1.7601348166442685,-3.61,5.693,10.087457,-23.042,-72.689
2025-06-09 09:50:00+00:00,STARLINK-2104,47384,,38.14,8.902,False,False,2985.107784078188,3694.7926952537487,-5063.017423946343,2952.7715091570426,3712.3746335260626,-5053.02619275315,-2.2997333651944736,-5.114283401698884,-5.086485940282244,-6.853445269027478,2.0772079628250895,-2.4805888234129014,-4.553711903833005,7.191491364523974,2.6058971168693423,7.859,4.181,6.281634,151.466,15.187
2025-06-08 20:50:00+00:00,STARLINK-2524,48304,,38.6,5.741,False,False,3587.851473533949,5932.574835327532,311.4355243556178,3610.959040039294,5901.902013856224,307.5215601632516,1.0140018591115545,-0.21031180261740076,-7.507694080066506,-3.760141408798868,2.6247297494134245,-6.047684331837108,-4.774143267910422,2.8350415520308254,1.4600097482293979,-5.259,2.304,3.419813,-53.007,-5.819
2025-06-07 21:30:00+00:00,STARLINK-3114,49426,,33.02,14.09,True,False,-2271.7691414084406,-4684.942047530976,-4585.388661502851,-2281.4133577705848,-4653.6758257662295,-4589.856016841357,-3.3212007426409422,-3.868430884078429,5.604415876958651,6.770984534379562,0.04611528214714814,-3.415848111671092,10.092185277020505,3.9145461662255774,-9.020263988629743,1.979,13.951,24.204663,107.143,-7.775
2025-06-09 22:10:00+00:00,STARLINK-3044,49438,,26.61,12.687,False,False,1509.5515171967193,3969.4054943366664,5479.01763530415,1509.8934946886197,3944.9467191159288,5468.550447289959,3.574288382619985,4.914536691350231,-4.532459103629071,-7.379456658247858,1.5526506028062395,0.9148648414164356,-10.953745040867844,-3.361886088543992,5.447323945045507,0.807,12.661,27.265463,-89.199,-23.167
2025-06-07 10:40:00+00:00,STARLINK-3350,51105,,34.95,14.34,True,False,-3467.1566322361623,-4381.607336455175,4098.795989437394,-3467.328155038561,-4386.555015531767,4064.1957293240175,1.8018988045365878,4.230332271193363,6.034452781439445,2.5239213931871274,-5.8455308262421015,-4.1433538555946665,0.7220225886505396,-10.075863097435464,-10.177806637034111,11.498,8.569,14.046832,-91.985,-81.857
2025-06-07 16:20:00+00:00,STARLINK-3639,51789,,38.38,11.406,False,False,2817.134420474068,3056.27015188898,-5560.755211770197,2838.9615358179585,3034.764269335531,-5537.637449180264,-2.815663535535093,-5.45844828510735,-4.424286062883086,-5.882634557327552,4.765259528236028,-0.4045560681524034,-3.0669710217924586,10.223707813343378,4.019729994730683,-5.051,10.226,15.264457,-44.575,37.033
2025-06-07 08:10:00+00:00,STARLINK-3720,52136,,38.79,5.892,False,False,3850.3764067636625,5554.477793529881,-1584.6592645386902,3847.5814637800154,5523.087433069498,-1607.278487162078,-0.15047811417003,-1.9758882074829023,-7.312679924485969,-4.631762012018677,1.5424555340399764,-5.812865818562053,-4.4812838978486464,3.5183437415228784,1.4998141059239156,-3.399,4.812,7.107918,-95.088,-35.668
2025-06-08 22:50:00+00:00,JILIN-1 KUANFU 01C,52443,,44.59,0.148,True,False,887.9763999239719,-261.4358458240815,-6878.715173733754,913.4965772057957,-233.3988072579346,-6855.237574541999,-3.9143369580546685,-6.4719125130054325,-0.2558869385512828,-4.028611588780614,-6.411127423375097,-0.3282448227996397,-0.11427463072594568,0.06078508963033524,-0.07235788424835687,-0.065,0.133,0.171075,47.691,31.768
