datetime,sat_name,norad_id,country,distance_km,relative_velocity_kms,sunlit,you_between_sun_and_target
2025-05-19 03:40:00+00:00,ZIYUAN 3-2 (ZY 3-2),41556,,70.92,0.293,False,False
2025-05-30 07:10:00+00:00,ZIYUAN 3-2 (ZY 3-2),41556,,99.04,0.273,True,False
2025-06-04 20:30:00+00:00,ZIYUAN 3-2 (ZY 3-2),41556,,82.0,0.248,True,False
2025-06-15 22:30:00+00:00,ZIYUAN 3-2 (ZY 3-2),41556,,52.08,0.235,True,False
2025-04-23 01:30:00+00:00,CARTOSAT-2C,41599,,55.81,2.526,False,False
2025-05-24 06:40:00+00:00,CARTOSAT-2C,41599,,80.0,2.477,False,False
2025-05-17 19:00:00+00:00,CAS-2T & KS-1Q,41847,,99.55,0.668,True,False
2025-06-20 02:20:00+00:00,CAS-2T & KS-1Q,41847,,85.8,0.6,False,False
2025-06-21 18:20:00+00:00,CAS-2T & KS-1Q,41847,,96.42,0.607,False,False
2025-05-31 17:30:00+00:00,CELTEE 1,41850,,78.2,12.819,False,False
2025-06-18 10:20:00+00:00,CELTEE 1,41850,,79.85,12.929,False,False
2025-04-23 03:50:00+00:00,AEROCUBE 8D,41852,,92.85,12.601,True,False
2025-05-22 22:40:00+00:00,AEROCUBE 8C,41853,,59.03,12.688,False,False
2025-05-14 16:40:00+00:00,CARTOSAT-2D,41948,,74.69,2.53,False,False
2025-04-27 13:20:00+00:00,CARTOSAT-2E,42767,,64.79,2.615,True,False
2025-05-28 14:30:00+00:00,CARTOSAT-2E,42767,,78.86,2.542,False,False
2025-06-13 15:40:00+00:00,KANOPUS-V-IK,42825,,90.78,15.025,False,False
2025-04-22 01:30:00+00:00,FLYING LAPTOP,42831,,96.59,10.613,False,False
2025-05-12 21:30:00+00:00,FLYING LAPTOP,42831,,89.31,10.568,False,False
2025-06-12 17:00:00+00:00,LEMUR-2-PETERG,42841,,98.25,11.979,False,False
2025-05-08 05:40:00+00:00,LEMUR-2-ZACHARY,42845,,96.93,12.133,False,False
2025-05-11 22:20:00+00:00,CORVUS BC2,42846,,82.01,10.989,True,False
2025-06-09 21:10:00+00:00,VENUS,42901,,87.62,3.983,True,False
2025-04-30 00:50:00+00:00,ORS-5 SENSORSAT,42921,,69.34,11.398,True,False
2025-04-28 11:20:00+00:00,YAOGAN-30 02A,42945,,28.3,13.812,False,False
2025-04-29 00:30:00+00:00,MOHAMMED VI-A,43005,,95.28,0.893,True,False
2025-06-18 00:00:00+00:00,JILIN-1 04,43022,,85.77,2.559,True,False
2025-05-01 23:50:00+00:00,YAOGAN-30 03A,43028,,68.78,9.204,False,False
2025-05-02 03:50:00+00:00,YAOGAN-30 03A,43028,,10.28,9.14,True,False
2025-06-04 01:00:00+00:00,YAOGAN-30 03C,43030,,82.25,13.876,True,False
2025-06-07 00:30:00+00:00,LKW-1,43034,,99.48,3.999,True,False
2025-04-27 05:50:00+00:00,YAOGAN-30 04A,43081,,54.93,8.701,True,False
2025-04-27 09:50:00+00:00,YAOGAN-30 04A,43081,,94.09,8.741,False,False
2025-06-09 10:20:00+00:00,YAOGAN-30 04A,43081,,36.77,8.067,True,False
2025-06-09 14:20:00+00:00,YAOGAN-30 04A,43081,,96.75,8.043,False,False
2025-05-19 18:50:00+00:00,SUPERVIEW-1 03,43099,,99.47,0.581,True,False
2025-05-31 11:10:00+00:00,CARTOSAT-2F,43111,,71.16,2.448,False,False
2025-05-16 10:10:00+00:00,LKW-3,43146,,70.18,8.071,False,False
2025-05-25 00:30:00+00:00,YAOGAN-30 05A,43170,,63.72,12.923,False,False
2025-05-25 00:30:00+00:00,KANOPUS-V 4,43181,,76.64,15.028,False,False
2025-06-04 09:40:00+00:00,KANOPUS-V 4,43181,,98.38,15.025,False,False
2025-05-10 13:10:00+00:00,S-NET D,43186,,59.04,15.029,True,False
2025-06-04 15:20:00+00:00,S-NET B,43187,,85.8,15.043,True,False
2025-05-22 20:40:00+00:00,S-NET A,43188,,28.29,15.036,True,False
2025-06-03 20:10:00+00:00,S-NET A,43188,,82.37,15.042,True,False
2025-06-02 05:30:00+00:00,GAOFEN-1 02,43259,,95.0,2.28,True,False
2025-04-23 18:10:00+00:00,LUOJIA-1 01,43485,,86.75,0.06,False,False
2025-04-23 18:20:00+00:00,LUOJIA-1 01,43485,,82.63,0.098,True,False
2025-04-29 05:20:00+00:00,LUOJIA-1 01,43485,,64.53,0.08,True,False
2025-04-29 05:30:00+00:00,LUOJIA-1 01,43485,,64.63,0.079,True,False
2025-05-04 16:30:00+00:00,LUOJIA-1 01,43485,,86.27,0.102,True,False
2025-05-04 16:40:00+00:00,LUOJIA-1 01,43485,,72.25,0.051,True,False
2025-05-04 16:50:00+00:00,LUOJIA-1 01,43485,,84.78,0.045,True,False
2025-05-10 04:00:00+00:00,LUOJIA-1 01,43485,,80.84,0.056,False,False
2025-05-10 04:10:00+00:00,LUOJIA-1 01,43485,,68.69,0.074,False,False
2025-05-15 15:20:00+00:00,LUOJIA-1 01,43485,,77.1,0.08,False,False
2025-05-15 15:30:00+00:00,LUOJIA-1 01,43485,,73.93,0.048,False,False
2025-05-21 02:50:00+00:00,LUOJIA-1 01,43485,,70.7,0.053,True,False
2025-05-21 03:00:00+00:00,LUOJIA-1 01,43485,,54.8,0.054,True,False
2025-05-21 03:10:00+00:00,LUOJIA-1 01,43485,,84.38,0.091,True,False
2025-05-26 14:20:00+00:00,LUOJIA-1 01,43485,,89.42,0.072,True,False
2025-05-26 14:30:00+00:00,LUOJIA-1 01,43485,,74.2,0.037,False,False
2025-05-26 14:40:00+00:00,LUOJIA-1 01,43485,,95.83,0.083,False,False
2025-06-01 01:50:00+00:00,LUOJIA-1 01,43485,,90.44,0.095,False,False
2025-06-01 02:00:00+00:00,LUOJIA-1 01,43485,,57.3,0.053,False,False
2025-06-01 02:10:00+00:00,LUOJIA-1 01,43485,,72.31,0.053,False,False
2025-06-06 13:40:00+00:00,LUOJIA-1 01,43485,,66.86,0.059,True,False
2025-06-06 13:50:00+00:00,LUOJIA-1 01,43485,,68.87,0.065,True,True
2025-06-12 01:20:00+00:00,LUOJIA-1 01,43485,,69.0,0.053,False,False
2025-06-12 01:30:00+00:00,LUOJIA-1 01,43485,,60.0,0.057,False,False
2025-06-12 01:40:00+00:00,LUOJIA-1 01,43485,,92.93,0.095,False,False
2025-06-17 13:10:00+00:00,LUOJIA-1 01,43485,,73.51,0.055,True,False
2025-06-17 13:20:00+00:00,LUOJIA-1 01,43485,,72.18,0.073,True,True
2025-06-04 18:10:00+00:00,PAKTES 1A,43529,,72.53,7.304,True,False
2025-05-03 19:30:00+00:00,PRSS 1,43530,,71.51,0.872,True,False
2025-05-21 17:10:00+00:00,PRSS 1,43530,,96.23,0.858,True,False
2025-06-03 07:40:00+00:00,SSTL S1-4,43618,,55.47,14.838,True,False
2025-06-16 13:30:00+00:00,SSTL S1-4,43618,,62.98,14.833,True,False
2025-05-15 22:50:00+00:00,NOVASAR 1,43619,,79.88,14.856,True,False
2025-05-29 16:40:00+00:00,NOVASAR 1,43619,,83.97,14.826,False,False
2025-06-19 11:10:00+00:00,CFOSAT,43662,,83.9,8.454,True,False
2025-05-03 23:30:00+00:00,SHIYAN-6 01 (SY-6 01),43711,,76.66,8.189,False,False
2025-06-03 00:40:00+00:00,CORVUS BC4,43767,,94.27,3.909,True,False
2025-05-16 11:00:00+00:00,AISTECHSAT 2,43768,,93.71,3.602,True,False
2025-05-30 20:00:00+00:00,AISTECHSAT 2,43768,,72.95,3.59,True,False
2025-06-03 15:50:00+00:00,FOX-1CLIFF (AO-95),43770,,92.78,2.732,False,False
2025-06-10 20:20:00+00:00,FOX-1CLIFF (AO-95),43770,,62.4,2.715,False,False
2025-05-13 02:20:00+00:00,RANGE-A,43773,,65.73,3.955,False,False
